epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.52518,1.31476,4.9496,1.6651,0.00333,1,0.05736,0.0225,1.3651,5.676,1.92401,0,0,0
2,11.9785,1.23351,4.76126,1.5489,0.00333,1,0.09059,0.03271,1.31086,5.68225,1.85253,1.99802e-05,1.99802e-05,1.99802e-05
3,17.2168,1.04078,3.81436,1.42046,0.00333,1,0.19065,0.08178,1.21711,5.54657,1.78113,3.99208e-05,3.99208e-05,3.99208e-05
4,22.6741,1.00798,4.07091,1.47198,0.00333,1,0.46885,0.17993,1.08569,5.47113,1.72913,5.98218e-05,5.98218e-05,5.98218e-05
5,26.7872,0.75135,3.40048,1.28429,0.00333,1,0.4592,0.22693,1.00675,5.45095,1.69389,7.96832e-05,7.96832e-05,7.96832e-05
6,31.443,0.80337,3.25332,1.33211,0.00333,1,0.53776,0.32115,0.86039,5.15559,1.58093,9.9505e-05,9.9505e-05,9.9505e-05
7,36.2745,0.78567,3.73852,1.343,0.00333,1,0.77213,0.49524,0.74103,4.99273,1.51694,0.000119287,0.000119287,0.000119287
8,42.2748,0.7135,3.0291,1.15476,0.00333,1,0.79036,0.52315,0.68362,4.93573,1.48267,0.00013903,0.00013903,0.00013903
9,49.238,0.63955,3.11551,1.06556,0.00333,1,0.83127,0.5937,0.68072,4.9147,1.51955,0.000158733,0.000158733,0.000158733
10,54.9589,0.73583,2.82011,1.30594,0.00333,1,0.91239,0.6274,0.74268,4.97031,1.56052,0.000178396,0.000178396,0.000178396
11,60.7622,0.73938,2.94155,1.16005,0.00333,1,0.91827,0.66211,0.80276,5.04163,1.54086,0.00019802,0.00019802,0.00019802
12,66.3724,0.82618,3.2955,1.32116,0.00333,1,0.95023,0.66818,0.82064,5.07077,1.50556,0.000217604,0.000217604,0.000217604
13,72.2971,0.67362,1.92333,1.10005,0.00333,1,0.93415,0.71153,0.76489,5.13891,1.35446,0.000237149,0.000237149,0.000237149
14,77.6007,0.52945,2.13002,1.07362,0.00333,1,0.96479,0.78543,0.64382,4.82866,1.31314,0.000256654,0.000256654,0.000256654
15,83.0764,0.68019,2.5749,1.16127,0.00333,1,0.98,0.86097,0.53342,4.8516,1.29652,0.000276119,0.000276119,0.000276119
16,88.7716,0.73118,2.03178,1.1648,0.00333,1,0.96753,0.83214,0.51727,4.79985,1.3346,0.000295545,0.000295545,0.000295545
17,94.4943,0.82428,3.01479,1.40404,0.00333,1,0.97297,0.84305,0.48756,4.77106,1.35499,0.000314931,0.000314931,0.000314931
18,100.441,0.89981,2.6578,1.41449,0.00333,1,0.97297,0.84305,0.48756,4.77106,1.35499,0.000334278,0.000334278,0.000334278
