epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.11207,1.27956,3.22265,1.42381,0.00333,1,0.19767,0.09438,1.20204,3.72367,1.51499,0,0,0
2,4.09828,1.15476,3.13506,1.33519,0.00333,1,0.32847,0.14593,1.15342,3.65705,1.48151,1.9802e-05,1.9802e-05,1.9802e-05
3,5.97822,1.21906,2.94096,1.37466,0.00333,1,0.4279,0.23715,1.15943,3.57177,1.46638,3.9208e-05,3.9208e-05,3.9208e-05
4,7.4804,0.97823,2.90744,1.16562,0.00333,1,0.59427,0.33518,1.01272,3.62516,1.28986,5.8218e-05,5.8218e-05,5.8218e-05
5,8.88086,0.64706,2.60987,1.06465,0.00333,1,0.7681,0.49853,0.83329,3.51205,1.15365,7.6832e-05,7.6832e-05,7.6832e-05
6,10.2503,0.87573,2.5365,1.20802,0.00333,1,0.80875,0.57073,0.73837,3.30371,1.07417,9.505e-05,9.505e-05,9.505e-05
7,11.6259,0.5615,2.53663,1.07364,0.00333,1,0.92064,0.64059,0.71518,3.1938,0.97367,0.000112872,0.000112872,0.000112872
8,13.0119,0.90478,2.30118,1.13461,0.00333,1,0.94743,0.64979,0.6838,3.08937,0.92535,0.000130298,0.000130298,0.000130298
9,14.4095,0.69435,2.03852,0.99754,0.00333,1,0.90687,0.66055,0.62734,3.01762,0.90243,0.000147328,0.000147328,0.000147328
10,15.7705,0.68658,1.78109,0.95745,0.00333,1,0.90625,0.75681,0.54851,2.9471,0.88822,0.000163962,0.000163962,0.000163962
11,17.3421,0.67153,1.71649,0.97084,0.00333,1,0.93346,0.8185,0.49886,2.89903,0.88931,0.0001802,0.0001802,0.0001802
12,18.9674,0.75589,1.71767,1.20159,0.00773,1,0.96479,0.84114,0.51426,2.83139,0.89064,0.000196042,0.000196042,0.000196042
13,20.3391,0.65363,1.32709,0.85972,0.90809,0.89907,0.965,0.82495,0.54654,2.78344,0.88504,0.000211488,0.000211488,0.000211488
14,21.6905,0.54856,1.16211,0.929,1,0.72464,0.9725,0.83568,0.51051,2.76537,0.87154,0.000226538,0.000226538,0.000226538
15,23.1197,0.58393,1.31322,0.94544,1,0.63898,0.96479,0.84851,0.46424,2.75578,0.8577,0.000241192,0.000241192,0.000241192
16,24.9082,0.62117,1.083,0.93195,1,0.54164,0.96479,0.85669,0.47046,2.72313,0.86923,0.00025545,0.00025545,0.00025545
17,26.2677,0.75049,1.56058,1.09792,1,0.58104,0.995,0.85168,0.48263,2.72683,0.88742,0.000269312,0.000269312,0.000269312
18,27.6824,0.74589,1.38783,1.01267,1,0.58104,0.995,0.85168,0.48263,2.72683,0.88742,0.000282778,0.000282778,0.000282778
19,29.3581,0.59284,1.27221,0.85344,1,0.67448,0.995,0.85378,0.49091,2.70508,0.92323,0.000295848,0.000295848,0.000295848
20,30.7022,0.57255,1.17675,0.95411,1,0.67448,0.995,0.85378,0.49091,2.70508,0.92323,0.000308522,0.000308522,0.000308522
21,32.1075,0.7076,1.2998,1.0406,1,0.62752,0.995,0.85291,0.50696,2.73087,0.93588,0.0003208,0.0003208,0.0003208
22,33.9025,0.49262,1.02103,0.88626,1,0.62752,0.995,0.85291,0.50696,2.73087,0.93588,0.000332682,0.000332682,0.000332682
23,35.2738,0.61011,1.25823,0.91477,1,0.4984,0.995,0.86699,0.48986,2.77742,0.91511,0.000344168,0.000344168,0.000344168
24,36.6386,0.50433,1.09441,0.90159,1,0.4984,0.995,0.86699,0.48986,2.77742,0.91511,0.000355258,0.000355258,0.000355258
25,38.206,0.47682,1.16292,0.93563,1,0.48359,0.995,0.88535,0.48128,2.80362,0.89402,0.000365952,0.000365952,0.000365952
26,39.592,0.43056,1.16361,0.88071,1,0.48359,0.995,0.88535,0.48128,2.80362,0.89402,0.00037625,0.00037625,0.00037625
27,40.9782,0.50218,1.12866,0.95088,1,0.47246,0.9875,0.893,0.44097,2.80296,0.87189,0.000386152,0.000386152,0.000386152
28,42.3299,0.49759,1.0387,0.92929,1,0.47246,0.9875,0.893,0.44097,2.80296,0.87189,0.000395658,0.000395658,0.000395658
29,43.7212,0.41804,0.98695,0.82535,1,0.54826,0.9875,0.8669,0.42381,2.77065,0.86085,0.000404768,0.000404768,0.000404768
30,45.4113,0.50631,1.07504,0.94713,1,0.54826,0.9875,0.8669,0.42381,2.77065,0.86085,0.000413482,0.000413482,0.000413482
31,47.0128,0.5098,1.08152,0.93737,1,0.46807,0.9875,0.87977,0.41072,2.76638,0.8598,0.0004218,0.0004218,0.0004218
32,48.4145,0.38279,0.84907,0.87442,1,0.46807,0.9875,0.87977,0.41072,2.76638,0.8598,0.000429722,0.000429722,0.000429722
33,49.8055,0.61543,1.05904,0.99453,1,0.53385,0.9875,0.89113,0.44244,2.76127,0.88605,0.000437248,0.000437248,0.000437248
34,51.2226,0.44832,1.13646,0.93426,1,0.53385,0.9875,0.89113,0.44244,2.76127,0.88605,0.000444378,0.000444378,0.000444378
35,52.6282,0.4681,0.87414,0.87967,1,0.59945,0.995,0.88,0.47833,2.73303,0.89502,0.000451112,0.000451112,0.000451112
36,53.9932,0.56944,0.99109,0.96789,1,0.59945,0.995,0.88,0.47833,2.73303,0.89502,0.00045745,0.00045745,0.00045745
37,55.417,0.56251,1.07551,0.93273,1,0.72516,0.995,0.93784,0.42678,2.59579,0.85225,0.000463392,0.000463392,0.000463392
38,57.1795,0.49847,1.02532,0.93361,1,0.72516,0.995,0.93784,0.42678,2.59579,0.85225,0.000468938,0.000468938,0.000468938
39,58.5653,0.41125,0.926,0.86582,1,0.94084,0.995,0.93875,0.4153,2.47003,0.83202,0.000474088,0.000474088,0.000474088
40,59.9289,0.4375,0.91866,0.88802,1,0.94084,0.995,0.93875,0.4153,2.47003,0.83202,0.000478842,0.000478842,0.000478842
41,61.3846,0.41154,0.93949,0.85438,0.99694,1,0.995,0.89575,0.42765,2.41341,0.82769,0.0004832,0.0004832,0.0004832
42,62.8774,0.45526,0.99958,0.89482,0.99694,1,0.995,0.89575,0.42765,2.41341,0.82769,0.000487162,0.000487162,0.000487162
43,64.3343,0.44466,1.15584,0.93224,0.94679,0.81818,0.98,0.87825,0.4801,2.38622,0.84193,0.000490728,0.000490728,0.000490728
44,66.2869,0.57989,0.97386,0.94212,0.94679,0.81818,0.98,0.87825,0.4801,2.38622,0.84193,0.000493898,0.000493898,0.000493898
45,68.1678,0.42573,0.8285,0.86851,1,0.72696,0.98,0.84152,0.50824,2.44048,0.85768,0.000496672,0.000496672,0.000496672
46,69.6729,0.40576,1.06919,0.91757,1,0.72696,0.98,0.84152,0.50824,2.44048,0.85768,0.00049905,0.00049905,0.00049905
47,71.1075,0.44968,1.08008,0.89054,1,0.66007,0.94571,0.84398,0.52649,2.4942,0.86082,0.000501032,0.000501032,0.000501032
48,72.5162,0.57836,1.20218,0.8295,1,0.66007,0.94571,0.84398,0.52649,2.4942,0.86082,0.000502618,0.000502618,0.000502618
49,74.4666,0.4918,1.1167,0.93396,1,0.60921,0.90869,0.78256,0.61484,2.62622,0.88011,0.000503808,0.000503808,0.000503808
50,76.5566,0.50212,0.97179,0.94117,1,0.60921,0.90869,0.78256,0.61484,2.62622,0.88011,0.000504602,0.000504602,0.000504602
51,78.2932,0.57605,1.0959,0.93498,0.97838,0.54545,0.8683,0.70781,0.58719,2.79341,0.92071,0.000505,0.000505,0.000505
52,79.961,0.47629,1.16553,0.86192,0.97838,0.54545,0.8683,0.70781,0.58719,2.79341,0.92071,0.000505002,0.000505002,0.000505002
53,81.3722,0.43885,1.03371,0.86367,0.97838,0.54545,0.8683,0.70781,0.58719,2.79341,0.92071,0.000504608,0.000504608,0.000504608
54,82.8666,0.48788,1.01239,0.89888,0.98736,0.54545,0.88238,0.74948,0.62559,2.6404,0.90781,0.000503818,0.000503818,0.000503818
55,84.6093,0.51017,0.95399,0.85915,0.98736,0.54545,0.88238,0.74948,0.62559,2.6404,0.90781,0.000502632,0.000502632,0.000502632
56,86.0523,0.48381,1.00979,0.90763,0.98736,0.54545,0.88238,0.74948,0.62559,2.6404,0.90781,0.00050105,0.00050105,0.00050105
57,87.4937,0.50037,1.2262,0.89678,1,0.631,0.96479,0.81504,0.63367,2.55185,0.90122,0.000499072,0.000499072,0.000499072
58,88.8841,0.44302,0.88169,0.88694,1,0.631,0.96479,0.81504,0.63367,2.55185,0.90122,0.000496698,0.000496698,0.000496698
59,90.2866,0.37615,0.89033,0.85135,1,0.631,0.96479,0.81504,0.63367,2.55185,0.90122,0.000493928,0.000493928,0.000493928
60,91.7195,0.44478,0.87195,0.79735,0.90676,0.90909,0.95711,0.80069,0.56241,2.31122,0.89803,0.000490762,0.000490762,0.000490762
61,93.1168,0.52244,0.92219,0.98497,0.90676,0.90909,0.95711,0.80069,0.56241,2.31122,0.89803,0.0004872,0.0004872,0.0004872
62,95.0369,0.46453,0.91776,0.93016,0.90676,0.90909,0.95711,0.80069,0.56241,2.31122,0.89803,0.000483242,0.000483242,0.000483242
63,96.6316,0.40942,0.83799,0.87814,0.89023,0.90909,0.92682,0.76919,0.53182,2.10945,0.90055,0.000478888,0.000478888,0.000478888
64,98.0757,0.40952,0.83662,0.89437,0.89023,0.90909,0.92682,0.76919,0.53182,2.10945,0.90055,0.000474138,0.000474138,0.000474138
65,99.4898,0.47309,1.21548,0.94496,0.89023,0.90909,0.92682,0.76919,0.53182,2.10945,0.90055,0.000468992,0.000468992,0.000468992
66,101.353,0.57799,0.97267,1.02759,0.98494,0.90909,0.97571,0.88776,0.45396,1.87864,0.8705,0.00046345,0.00046345,0.00046345
67,102.982,0.45916,0.81051,0.89303,0.98494,0.90909,0.97571,0.88776,0.45396,1.87864,0.8705,0.000457512,0.000457512,0.000457512
68,104.675,0.51716,0.96201,0.97321,0.98494,0.90909,0.97571,0.88776,0.45396,1.87864,0.8705,0.000451178,0.000451178,0.000451178
69,106.321,0.37908,0.80949,0.81594,0.9966,0.90909,0.9875,0.90725,0.45944,1.78402,0.87247,0.000444448,0.000444448,0.000444448
70,108.265,0.42257,1.09478,0.86382,0.9966,0.90909,0.9875,0.90725,0.45944,1.78402,0.87247,0.000437322,0.000437322,0.000437322
71,110.443,0.39743,0.85653,0.89347,0.9966,0.90909,0.9875,0.90725,0.45944,1.78402,0.87247,0.0004298,0.0004298,0.0004298
72,111.994,0.35252,0.78643,0.89479,1,0.98327,0.995,0.91005,0.49139,1.88468,0.88382,0.000421882,0.000421882,0.000421882
73,113.409,0.42196,0.85639,0.90061,1,0.98327,0.995,0.91005,0.49139,1.88468,0.88382,0.000413568,0.000413568,0.000413568
74,114.978,0.40831,0.91856,0.86299,1,0.98327,0.995,0.91005,0.49139,1.88468,0.88382,0.000404858,0.000404858,0.000404858
75,116.437,0.44475,1.06914,0.83709,1,0.92837,0.995,0.936,0.4481,1.98267,0.87518,0.000395752,0.000395752,0.000395752
76,118.439,0.44822,0.98323,0.84556,1,0.92837,0.995,0.936,0.4481,1.98267,0.87518,0.00038625,0.00038625,0.00038625
77,119.91,0.39861,0.83521,0.88395,1,0.92837,0.995,0.936,0.4481,1.98267,0.87518,0.000376352,0.000376352,0.000376352
78,121.37,0.52486,0.91267,0.93332,1,0.93367,0.995,0.92613,0.42945,2.00106,0.86197,0.000366058,0.000366058,0.000366058
79,122.802,0.3845,0.90937,0.88913,1,0.93367,0.995,0.92613,0.42945,2.00106,0.86197,0.000355368,0.000355368,0.000355368
80,124.212,0.41189,0.81096,0.85291,1,0.93367,0.995,0.92613,0.42945,2.00106,0.86197,0.000344282,0.000344282,0.000344282
81,125.625,0.40425,0.84286,0.90969,1,0.94054,0.995,0.927,0.42716,1.94823,0.85157,0.0003328,0.0003328,0.0003328
82,127.029,0.52336,0.901,0.90349,1,0.94054,0.995,0.927,0.42716,1.94823,0.85157,0.000320922,0.000320922,0.000320922
83,128.413,0.48764,1.0659,0.91818,1,0.94054,0.995,0.927,0.42716,1.94823,0.85157,0.000308648,0.000308648,0.000308648
